hwmon2;hwmon4;hwmon5;hwmon7;hwmon8
37.85;41.0;41.0;49.0;30.0
37.85;40.0;40.0;42.0;31.0
37.85;41.0;41.0;43.0;31.0
37.85;41.0;41.0;43.0;31.0
37.85;41.0;41.0;43.0;31.0
37.85;41.0;41.0;43.0;31.0
37.85;41.0;41.0;46.0;30.0
37.85;40.0;40.0;43.0;31.0
37.85;41.0;41.0;42.0;30.0
37.85;41.0;41.0;45.0;31.0
37.85;41.0;41.0;39.0;30.0
37.85;41.0;41.0;78.0;32.0
37.85;43.0;43.0;40.0;32.0
37.85;43.0;43.0;40.0;31.0
37.85;43.0;43.0;39.0;31.0
37.85;43.0;43.0;42.0;31.0
37.85;43.0;43.0;40.0;32.0
37.85;43.0;43.0;40.0;32.0
37.85;42.0;42.0;39.0;31.0
37.85;42.0;42.0;40.0;31.0
37.85;42.0;42.0;40.0;31.0
37.85;42.0;42.0;40.0;31.0
37.85;42.0;42.0;39.0;31.0
37.85;42.0;42.0;44.0;31.0
37.85;42.0;42.0;50.0;31.0
37.85;42.0;42.0;43.0;31.0
37.85;42.0;42.0;40.0;32.0
37.85;42.0;42.0;39.0;32.0
37.85;42.0;42.0;40.0;32.0
37.85;42.0;42.0;40.0;31.0
37.85;42.0;42.0;42.0;31.0
37.85;42.0;42.0;46.0;32.0
37.85;42.0;42.0;45.0;31.0
37.85;41.0;41.0;43.0;31.0
37.85;41.0;41.0;40.0;31.0
37.85;41.0;41.0;84.0;31.0
37.85;44.0;44.0;91.0;31.0
37.85;47.0;47.0;91.0;31.0
37.85;53.0;53.0;94.0;31.0
37.85;56.0;56.0;96.0;31.0
37.85;58.0;58.0;100.0;31.0
37.85;61.0;61.0;100.0;31.0
37.85;64.0;64.0;100.0;31.0
37.85;66.0;66.0;99.0;32.0
37.85;68.0;68.0;100.0;31.0
38.85;70.0;70.0;100.0;31.0
38.85;72.0;72.0;100.0;31.0
38.85;74.0;74.0;100.0;31.0
38.85;76.0;76.0;100.0;32.0
38.85;77.0;77.0;100.0;31.0
38.85;79.0;79.0;99.0;31.0
38.85;81.0;81.0;100.0;32.0
38.85;82.0;82.0;100.0;31.0
39.85;84.0;84.0;100.0;31.0
39.85;85.0;85.0;100.0;31.0
39.85;85.0;85.0;100.0;31.0
39.85;86.0;86.0;100.0;31.0
39.85;87.0;87.0;100.0;31.0
40.85;88.0;88.0;100.0;32.0
40.85;89.0;89.0;100.0;31.0
40.85;89.0;89.0;100.0;32.0
40.85;90.0;90.0;100.0;32.0
41.85;91.0;91.0;99.0;32.0
41.85;91.0;91.0;99.0;32.0
41.85;92.0;92.0;100.0;32.0
41.85;93.0;93.0;100.0;32.0
41.85;93.0;93.0;100.0;32.0
41.85;93.0;93.0;99.0;32.0
41.85;94.0;94.0;100.0;32.0
42.85;94.0;94.0;100.0;32.0
42.85;95.0;95.0;100.0;32.0
42.85;95.0;95.0;100.0;32.0
42.85;95.0;95.0;100.0;32.0
42.85;94.0;94.0;68.0;32.0
43.85;93.0;93.0;68.0;32.0
43.85;91.0;91.0;65.0;32.0
43.85;89.0;89.0;65.0;32.0
43.85;88.0;88.0;63.0;32.0
43.85;84.0;84.0;61.0;32.0
43.85;83.0;83.0;61.0;32.0
43.85;81.0;81.0;61.0;32.0
43.85;80.0;80.0;60.0;32.0
43.85;79.0;79.0;59.0;33.0
43.85;78.0;78.0;59.0;32.0
44.85;76.0;76.0;67.0;32.0
44.85;75.0;75.0;71.0;32.0
44.85;74.0;74.0;66.0;33.0
44.85;73.0;73.0;67.0;33.0
